value,dataset
49931740624.54719,gdp
59972469492.22443,gdp
79132917458.62912,gdp
152202083224.96094,gdp
168173601402.78735,gdp
210012101145.60373,gdp
242292495289.4869,gdp
265427508130.7853,gdp
358140569341.4641,gdp
486440975212.35626,gdp
494949357407.8618,gdp
463116781558.6808,gdp
437502791694.1127,gdp
440213958688.43896,gdp
432899572101.06274,gdp
405502496535.0954,gdp
431288831867.9647,gdp
429413862085.5367,gdp
457402110666.6925,gdp
640090916280.6221,gdp
466374353043.2712,gdp
466062663007.9742,gdp
477189600616.4624,gdp
498083764817.6213,gdp
526560849591.8491,gdp
568785405470.3555,gdp
612394626427.8442,gdp
596742288704.4005,gdp
663176057519.8239,gdp
760659530858.8258,gdp
741974816657.2614,gdp
743726477660.1875,gdp
826976496725.0271,gdp
983700787595.348,gdp
1205595865007.2478,gdp
1434109187806.894,gdp
1668426022116.8896,gdp
2109171849559.7715,gdp
1822783841737.672,gdp
2154252309110.1936,gdp
2559855182439.7764,gdp
2793775680472.1484,gdp
2857872049304.912,gdp
2905075942181.625,gdp
2544136348540.1826,gdp
2499965913229.877,gdp
2571053716382.9434,gdp
2865543585777.9526,gdp
2898668715645.555,gdp
2576553324185.614,gdp
2969116805615.582,gdp
3613682354462.2393,gdp
3491516939569.8794,gdp
109490000000.0,gdp
112988571428.57144,gdp
88416666666.66667,gdp
106213829787.23404,gdp
109029439252.33646,gdp
126928000000.0,gdp
76629657863.6557,gdp
141352654305.16275,gdp
189719984268.48453,gdp
228778917308.16983,gdp
236741715015.015,gdp
257440000000.0,gdp
258031750000.0,gdp
272149750000.0,gdp
292859000000.0,gdp
298948250000.0,gdp
283523000000.0,gdp
284203750000.0,gdp
268696750000.0,gdp
97724004251.8602,gdp
127586973492.17664,gdp
164657930452.78662,gdp
198737095012.28165,gdp
232557260817.3077,gdp
287530508430.568,gdp
361558037110.41925,gdp
332976484577.6189,gdp
423627422092.4897,gdp
530158122010.4424,gdp
545982375701.128,gdp
552025140252.2463,gdp
526319673731.6383,gdp
594749285413.2124,gdp
557532320662.9546,gdp
643628393281.364,gdp
524819892360.1758,gdp
447754683615.22455,gdp
385740508436.9652,gdp
487902572164.3484,gdp
631133384439.9445,gdp
640591410663.8834,gdp
2256863448.77086,gdp
2069870129.8701296,gdp
1272835453.426344,gdp
1201312829.2752385,gdp
1315158636.6755345,gdp
1468317435.2014842,gdp
1596968946.2370784,gdp
1639492444.7615163,gdp
1893726437.2646184,gdp
1845482173.027324,gdp
1911563668.8500648,gdp
2118467913.378734,gdp
2376335048.399756,gdp
2807061008.6908445,gdp
3576615240.4161587,gdp
4900469511.1019125,gdp
6384452066.514603,gdp
9206301269.791636,gdp
11662040713.875307,gdp
8647937081.256197,gdp
9260285755.624235,gdp
10142111824.583546,gdp
10619320682.947445,gdp
11121464437.04153,gdp
11609513246.795769,gdp
10553337518.414,gdp
10546136235.521862,gdp
11527458709.015797,gdp
12457940694.73953,gdp
13619290539.211609,gdp
12641698583.21524,gdp
13878908628.937807,gdp
19513474648.24293,gdp
24212134631.064003,gdp
405586592.17877096,gdp
487709497.2067039,gdp
596648044.6927375,gdp
695530726.2569833,gdp
764804469.273743,gdp
872067039.1061453,gdp
958659217.877095,gdp
1083240223.4636872,gdp
1245810055.8659215,gdp
1320670391.0614524,gdp
1379888268.1564243,gdp
1531843575.4189944,gdp
1665363128.49162,gdp
1722905027.9329607,gdp
1873452513.9664805,gdp
1896456983.2402236,gdp
1961843575.4189944,gdp
2044111731.8435757,gdp
2254830726.2569838,gdp
2360017318.435754,gdp
2469782681.5642457,gdp
2677641340.782123,gdp
2843024581.0055866,gdp
2553793296.089385,gdp
2453597206.7039104,gdp
2637859217.8770947,gdp
2615208379.888268,gdp
2727849720.670391,gdp
2790849720.670391,gdp
2962907262.5698323,gdp
2983635195.5307264,gdp
3092429050.27933,gdp
3276184357.541899,gdp
3395798882.6815643,gdp
2558906303.8809776,gdp
3103184101.5135417,gdp
3544707788.0566425,gdp
18606562977.05008,gdp
19682883149.261303,gdp
19922563187.61011,gdp
21539843446.37495,gdp
23801123808.17981,gdp
25976164156.186264,gdp
27307844369.2551,gdp
30442724870.83598,gdp
32714085234.253635,gdp
36683365869.33854,gdp
